ngram,polarity
وهي جيدة,1
يتمتع بالجوده,1
يحبن,1
يحبوا,1
يحبون,1
يحبونه,1
يعمل بشكل جيد,1
يعمل جيدا,1
يقص,1
يمدح,1
يمدحها,1
ينقى المياه,1
يهتم احد,1
bad,-1
bad packaging,-1
very bad,-1
اتخميت,-1
اتقطع,-1
ارجاعها,-1
ارجو,-1
اسوء,-1
اصغر من,-1
الازرار بتعلق,-1
الجوده رديه,-1
الخامة سيئة,-1
الخدوش,-1
الخرطوم اتقطع,-1
الريحة ماتجلس,-1
الساعة,-1
السعر مبالغ,-1
السعر ناار,-1
السلعة سيئة,-1
العيب,-1
الغطاء,-1
المقاس مختلف,-1
المنتج غالى,-1
المنتج ليس,-1
المنتج مضروب,-1
انكسر,-1
اي كلام,-1
باااهظة,-1
باااهظة الثمن,-1
باظ,-1
بامكانيات متوسطة,-1
باهت,-1
بتعلق,-1
بتلزق,-1
بدون ملحقات,-1
برداءه,-1
بطئ,-1
بطيء يتعلق,-1
بعد شرائه,-1
تختلف عن الصوره,-1
تختلف عن الوصف,-1
تخدش,-1
تسرب,-1
تعطله,-1
تفرغ بسرعه,-1
تلفت,-1
توقف عن العمل,-1
جدا سيئة,-1
حرام,-1
حسبي الله ونعم الوكيل,-1
حصل عيب,-1
خامات تعبانه,-1
خداع,-1
خسارة,-1
خفيف جدا,-1
خم,-1
رائحة سلبية,-1
راي سلبي,-1
ردئ,-1
رديه,-1
رديئة,-1
رديئه,-1
رميت,-1
رميته,-1
رميتها,-1
زجاجها مخدش,-1
سعر مجنون,-1
سعرها مغالي,-1
سلبي,-1
سلبية,-1
سلبي جدا,-1
سيء,-1
سئ,-1
سي جدااا,-1
سيئ,-1
سيئة,-1
سيئة جدا,-1
سيئه,-1
صعبه,-1
صعقة,-1
صعقت,-1
صغيرة جدا,-1
صغيره جدا,-1
صناعه صينيه,-1
ضعيف,-1
ضعيفة,-1
ضعيفه,-1
عادي,-1
عطر مغشوش,-1
عيوب,-1
غالي,-1
غالي جدا,-1
غش,-1
غشني,-1
غير واضحة,-1
فوجئت,-1
فوق الخيال,-1
كاذب,-1
كبيرة وعفشة,-1
كذاب,-1
كذابه,-1
كذب,-1
لا انصح,-1
لا تستحق,-1
لاتصلح,-1
لا تعصر,-1
لاتعمل,-1
لا تعمل,-1
لانصح,-1
لا يصل,-1
لايصلح,-1
لايطابق,-1
 لايطابق,-1
لايطابق المواصفات,-1
لضعف,-1
للأسف,-1
للاسف,-1
لم يعجبني,-1
لن اقوم بشرائه,-1
لن اقوم بشرائها,-1
ليست بنفس,-1
ليست كما تظهر في الإعلان,-1
ماتجلس,-1
ماتجلس ساعه,-1
ماتستاهل,-1
ماتستاهل سعره,-1
ماتشتغل,-1
مبالغ,-1
مبالغ فيه,-1
متدنيه,-1
متوسطة الاداء,-1
مخادع,-1
مخادعه,-1
مخالفه,-1
مخدش,-1
مخدش ومكسور,-1
مخدوش,-1
مركون,-1
مزعج,-1
مضروب,-1
مضروبة,-1
مضروبه,-1
مغالي,-1
مغالي فيه,-1
مغشوش,-1
منتج سئ,-1
منتج ممتاز,-1
ناار,-1
والخياطة متدنيه,-1
وانصح بعدم شرائها,-1
وباظ,-1
وبتلزق,-1
وحش,-1
وحشه,-1
وسعره غالي,-1
وعدم قدرتها,-1
وعفشة,-1
وعفشة شويا,-1
وغير مطابقة,-1
ولا انصح,-1
ولا تستمر,-1
ولاتعمل .,-1
ولاتعمل,-1
وللاسف,-1
ولم يهتم,-1
وليس كما بالصور,-1
ومبالغ,-1
ومكسور,-1
ومكسور ولاتعمل,-1
يحتاج الى,-1
يسخن,-1
يفتقد,-1
يفتقد الجودة,-1
يفضل التاكد,-1
يفوق الخيال,-1
