text,polarity
تم استلام السلعه فى الوقت المحدد ..,1
رائعه وشكلها انيق وتناسب الرجال والنساء وقمت بطلب عدد 4,1
ممتازة جدا ... ناعمة على البشرة جدا ... فخامة ... ألوان جذابة مريحة نفسيا ... شكر خاص لمصداقية البائع ... وشكر خاص لــ ((( سوق كوم ))),1
جودة المنتج ضعيفه ..ولكن سعرها جيد,-1
جدا رائعه وانصح فيها بقوه,1
منتج غير جيد,-1
ممتاز جداً وذو جودة عالية ويستاهل قيمته,1
ممتازه جداً انها رائعه للتصوير وومتازه جداً انصح بها الجميع خاصة المصورين بتكون لهم جدا ممتازه وتضبط للمناظر,1
جيد للكاميرات الخفيفة,-1
بالنسبه للتصوير جيده جدا ولكن نظرا لحجمها الصغير جدا فانها تمثل عيبا فى حملها ولمس الشاشه وغيره.,-1
اخيس كاميرا انصحكم بعدو عنها اسألوا مجرب    ابعدو نصيحة لحد يشريه شفوها عندي اذا حولت المقاطع للجوال يطلع الصوت مقطع وتزعجك بالتصوير التقائي وﻻ معها بطاريه يعني ﻻزم تشبكها بالبطاريه دايم,-1
ممتازة جدااا,1
لا يوجد,1
تصويرها ليس جيد وليست HD ..وتصوير غير واضح سيئه جدا...والصوت ليس جيد...كام سيئة بمعنى الكلمه..استخدمتها مره وحده ورميتها,-1
منتج جميل جدا,1
اعتبر انها مفيدة لبعض الاشخاص  خصوصا الذين يودون تحويل الاشرطة القديمة الى سي دي وكذلك في النقل المباشر,1
أصلي ١٠٠ %,1
منتج رائع وانصح اي شخص فيه بس اتمنى البائعين يبيعوا للاجهزة الاخرى زي الHTC One M8/GALAXY S5/Sony Z3...,1
ماشاء الله جميلة و ساعدتني في العرض الصور و الأفلام,1
وسعره غالي بالنسبه لتجاري,-1
راائعه جدا وشكلهم حلوو ... بس لو فيه منه 3 متر احلى,1
usb و خفيف على الجهاز .. صورة جيدة جداً .. لا يحتاج خبرة فى التظبيط .. البرامج الاصلية  على اسطوانة,1
منتج سيئ لا يعمل مع الأيفون 5 اس ولا أيباد ميني حيث تظهر رسالة تفيد أن الكيبل  لا يدعم الجهاز (ايفون 5 اس) ولا (ايباد ميني)، حيث تم شراء عدد 2 ولم أستفد منه، وتم إلقائه في القمامة,-1
حلوة الفكرة يريت لو تجبلناا للجالكسي بنفس النوعية..^^,1
تعمل بشكل جيد,1
لم أجدها فى أى مكان فى تبوك وأخيراً وجدتها فى سوق.كوم السلعه ممتاذه البائع ممتاز وأنصح بالشراء من عنده,1
السلعة سعرها ممتاز وجيدة لا بأس بها,0
I thought it would work on car stereo AUX,1
جيدة جدا ومفيدة وسعرها مقبول,1
سلعه جدا رائعه وانصح بها لكل من يملك ايباد وايفون,1
رائع جدا ، لم اندم لحظة واحدة على شراءه,1
"وصلة ممتازة جدا تسمح بتشغيل الفلاش ميموري ع الموبايل ,, ونقل البيانات من الفلاشة إلى الموبايل , ومن الموبايل إلى الفلاشة",1
مناسب جداً لحفظ مفاتيح جميع أبواب المنزل يتميز بقوة الخشب المصنوع منه ويعيبه فقط عدم امكانية اقفاله بقفل,1
حلوه بس سعرها ما يسوا,-1
جميل جدا الله يعطيك العافية.,1
جودة جيدة,1
شكرآ لتعاملكم الراقي وع الهديه اللي جت مع السواره الله يبارك لكم ان شاء الله,1
مطابق للصورة..جودته جيدة..ووصلت بسرعة,1
رائعة جدا,1
عن جد راائعة ... ناعمة ... ذوق رفيع ... تفاصيل دقيقة ... وااو في اللبس ... أعطيها كل النجووم وأكثر,1
لا أنصح بشرا  المنتج و ندمت على ذلك,-1
مميزة جدا و عصرية .. و الهدايا التي جاءت مع الطلب دليل على رقي الاخ البائع الكريم. و ستكون فرصة جميلة للشراء منه مرة اخرى.,1
جميلة جدا و مغلفة  و الاجمل هي الاساور التي جاءت معها. اشكرك اخي الكريم و فرصة سعيدة للشراء معكم مرة اخرى.,1
جميلة جداً وجذابه ....,1
عاديه,0
ممتازة وفعالة فى تخفيف آلام العظام والمفاصل,1
حميلة جداً,1
NIIIIIIIIIIIIIIICE,1
اعجبت به,0
I recommend this item for a friend.,1
جميل وسهل الاستخدام  وسهل الاحتفاظ به,1
"بصراحة البائع في غاية الاحترافية سرعة في تجهيز و شحن السلعة , والسلعة تغليفها ممتاز وجديدة كليا .",1
السعو مبالغ فيه جداا,1
حلوه و بس فيها واحده متكرره فا هيا كده فيها 4 مش 5 باليتات و لازم مانكير تقيل و مش بينشف بسرعه عشان بنفع معاها,0
فكرة رائعة جدا ... سريعة ... للبروفوشنل والمبتدئة والصبايا والأطفال ... فكرة ذكية ... نظافة الصبع على الأصابع ... شكر خاص للبائع الصادق ... وشكر خاص لــ ((( سوق كوم ))),1
من الاشياء الجيدة التي حصلت عليها,1
Very Low Material and it is not working well at all,-1
gooooooooooooood,0
منتج مميزوجميل,1
بأعطيكم تجربتي شوفوا أول ماتشتروا المفرش عرضوه للضوء كم ساعة يكفي لمبة الغرفة بعدها لماتطفوا النور كانك في الفضاء شكل نجوم وعبارة عيون الكون كمان مولعه بصراحة جو رومانسي وخيالي شكرا للبائع وشكرا لسوق كوم,1
خفيفه جدا لاتقيء من البرد,-1
كم ورد في الوصف,1
عطر جميل الرائحة,1
- إيجابيات و سلبيات زيت الحشيش الأفغاني الخام لتطويل الشعر والتساقط,1
ماتشتغل,-1
عمليه جدا  وتسهل علي مستخدمها وضع فرشاته في مكان امن و شكل جميل,1
منتج ممتاز وعلمي في نفس الوقت,1
البائع قام بالشحن في نفس اليوم,1
منتج سيئ للغايه  ولما اشتريتو اشتغل يومين وبعدها باسظ مش راضى يشتغل بمعنى ان انا دفعت فلوس علي الفاضى,-1
ممتازه في حال انقطاع التيار الكهربائي...والاطفال يستمتعون ببالاضاءه ...وخروج اامياه منه بشكل انسيابي ورائع,1
منتج صينى وخامته رديئة و لم تعمل الالوان المضيئة بعد فترة صغيرة من شرائه ولا يمكن التحكم فى انسيابية الماء وميزته فقط انه يقوم بتغير الالوان المضيئة حسب درجة الحرارة,-1
الدش يعمل وفعلا يعطي الوان ولكن يعطي اكثر من لون في نفس اللحظة ويغيرهم بسرعة جدا تحس انك في ديسكو مش في الحمام .. :) شكله جميل واضائته مقبوله والأهم .. مياهه قوية رغم اني كنت خائف من هذة النقطة ... أرجوا تعديل الإعلان بصور حقيقية للمصداقية مش أكثر ...,0
افضل صابونه علي الاطلاق,1
جربوها,1
بائع سريع جداً ومنتج اكثر من رائع thanks,1
رايي عن السلعه بانها فعلا ممتازه وانصح بها اي شخص يرغب في شرائها بان يشتريها ويستخدمها بدون تردد.......,1
مره حلوة الصابون الأفريقي,1
تستحق الشراء وممتازة ويمكنك ان تصلها بجوال (ايفون او اندرويد) او حتى بجهاز الكمبيوتر.. رائعة لكن سعرها شوي غالي,1
البائع شخص صادق في الوصف ومبدع في التغليف والتوصيل سريع جداً والاسعار اكثر من ممتازة انصح بالتعامل معه بشدة ويكفي ان السلعه من مكة المكرمة,1
"التوصيل السريع و الجديه في التعامل ,",1
السلعة جيدة و أنصح بها,1
بصراحه  اثناء استلام الشحن قلت في نفسة اضحك علي .....بس لما استخدمته في مكان مظلم ...صدمت من قوته  وطلع خطير جدا ....حتى اللي حولي يسوؤل من فين اشتريته  ؟,1
سيئة لاختلاف مواصفاتها,-1
الحقيبة خفيفة الوزن وصغيرة الحجم وخامتها قوية وسعرها مناسب,1
مناسبة خصوصا فى الرحلات لصغر حجمه وامكانية حمله و تخزينه بسهولة كذلك مدة العمل الخاص به أراها جيدة,1
رائعة جداً  .   و الضوء البيض وقوي .,1
سلعه جيده طبعا بعد تعبئتها بالمضخه اليدويه لانه بمجرد تشغيل المضخه الكهربائيه تعطلت بسبب التيار الكهربائي 220 وبعد اطلاعي على الكتيب اتضح لي انه التيار الكهربائي 110 الخاص بالمضخه الهوائيه فلو ذكر نوع التيار بالوصف ماكان صار اللي صار,-1
منتج جيد جدا وانصح بإقتنائة ولكن عدد القطع قليل ولكن جيدا عموما,1
صعب الغلاف الخارجي+غير متماسگ لـ درجة انگ تحتاج لـ تسنيده على احدى الجدران,-1
اعجبني,1
جيد ومناسب,0
بعض المواد غير مطابقة لصورة .,-1
بصراحة رائع ومريحة وخاصة في حالة حضور ضيوف فجأة عموماً روعة,1
ممتاز وعملي جداً,1
"جميله جدا ,,اشتريتها وهي مخفضه ولكن سعرها الحالي غالي عليها",1
خامة القماش ممتازة جدا وسرعة وصول المنتج قياسية شكرا,1
الاضاءه ضعيفه جدا ولا تستمر اكثر من ساعه,-1
ما يشحن تمام ويخلص الشاحن بسرعه والنور ضعيف جدا,-1
مواصفات جيده جدا ولكن لوحة النظام الرئيسية او المذر بورد لايعمل,1
جهاز منخفض السعر وذا جودة جيدة متناسبة مع سعره,1
البائع كان صادق جداً في الوصف وانصح بالتعامل معه بشدة وسريع الاستجابة في عملية البيع والشحن والتغليف رائع,1
هذه السلعه قديمة والبائع كان صادق في الوصف والصورة مطابقة للعملة,1
البائع طلبت منه اكثر من عملة وصلتني اليوم عملة القطب المتجمد الجنوبي وأرسلي هدية البائع محترم والموقع (سوق.كوم)محترم وأكثر من مرة طلبت سلع وآرامكس التزمو بالوقت اشكر البائع,1
بصراحه اسرع بائع تعاملت معه ويشكر على اهتمامه ووصلتني بحالة ممتازه جدا والسعر منافس,1
رائع وجميل,1
ساعة جميله ومتتازه وحجمها مناسب للمساجد الصغيره او المنزل وسعرها مناسب وبها توقيت هجرى وميلادى ومواقيت الصلاه مع سهولة ظبطها.,1
- إيجابيات و سلبيات الحرمين HA.3007 ساعة ومنبه:,1
لم يعجبني شيئا و الصناعه رديئة جدا و خفيف الوزن و الصوت ضعيف جدا ولا اعتقد ان يشتغل اكثر من 2 شهر,-1
رائعة ومناسبة,1
السلام عليكم ورحمة الله وبركاته ممتازة.  جدا لفحص السيارة عن طريق الجوال والكمبيوتر انصح بها وشكراً، ،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،,1
جهاز حلو ومريح بالاستخدام  وانصح به باقي الشباب في حال توفر الجهاز استخدامه لانه يوفر عليك  المصاريف,1
جدا مفيده,1
سلعة ممتازة و عملية و أنصح بشراءها حيث لا غنى لأي سيارة عنها في حين تعدد الأجهزة المحمولة و التي تشحن من خلال هذا المنفذ  منفذ الولاعة بالاضافة لمنفذ usb  في أداة واحدة بكابل طويل يسهل وضعها في اي,1
ممتازة جداً وأنصح لاستخدامها في الرحلات البرية والبحرية وسهولة استخدامها بالإمكان حملها علا كتف لوجود إمدادات خاصة بالكتف,1
انصح بشراء المنتج الصراحة ممتاز جدا انصح وبقوه,1
عدم المصدقيه في المواصفات,-1
الكاميرا جداا رائعه في التصوير النهار فقط,1
جدا رائعة وسعرها معقولة.. جربتها وأعطتني مشاكل السيارة كلها.,1
السلعة ممتازه ومطابقة للمواصفات ، انصح الجميع بتجربتها ، هناك سرعة في توصيل الطلب ، سهلة الاستخدام .,1
قطعة ممتازة وفيها مميزات مفيدة جداً خصوصاً إذا كنت كثير السفر بالسيارة تعطيك حرارة اللديتر بالدرجة المئوية وتراقب حاجات كثير,1
الشحن سريع.. والسلعة كما في الاعلان .. وكما ذكرت ان اهم ميزه فيها هي ان حجمها صغير .. ولا توجد اي مشكله ... شكرا لكم,1
الجهاز عملى ومطابق للمواصفات المعروضة ويمكننى استخدامه كتابليت او تنزيل تطبيقات والاستمتاع اثناء القيادة بتشغيل اليوتيوب والانترنت والتوجيه رائع اكثر من برنامج وخاصة برنامج السايجك وبرنامج البر .. عارف كل الطرق,1
سهل الاستخدام ودقيق اعطاني نفس نتائج الورش,1
القطعة ممتازة وصغيرة الحجم وسهلة الاستخدام في تشخيص الاعطال انصح باستخدامها من الجميع ووصلت القطعة في زمن قياسي,1
القطعة لا بأس بها,-1
لم تؤثر على الخدوش ولم يختفي الخدش مثل ماذكر / بل دعايه للحصول على المال فقط / حيث اني استخدمتها للخدوش ولم الاحظ أي تغير على الخدوش,-1
السلعة ممتازة وجيدة وأنصح بها من لديه أطفال لحفظ أغراضهم                   وكتبهم ورضعاتهم,1
ممتــــــــــــــــــــــتازة جــــــــــــدا جـــــــــــــدا  ولكــــــن خياطـــــــة المنظـــــــم مقعــــــــد السيارة الخلفي كان سيء ولكن طريقة تنظيم الجيوب بالمنظم ممتازة  والتوصيل كان في وقت قصيــــــــــر وممتاز ويشكرون علي فتـــــــرة التوصيــــــل  ...,1
لا انصح بشراء المنتج اولا بسبب السعر ثانيا ليس عليا ولا يزيل الخدوش منتج رديئ,-1
خامه رائعه منظمه شكلها رائع وخامتها جميله انصح بها ،،، وحجمها رائع وعمليه تنظم شنطه العربيه وتلاقي حاجتك بسهوله,1
الشاحن ممتاز وبسعر  رائع100 ريال فقط,1
جيد جداً,1
مفيد جدا,0
والله اكنس بيدي افضل حرام فلوس راحة فيها,-1
المنتج ممتاز جدآ خصوصآ لمن هم اصحاب الخطوط الطويله . جدآ ممتاز وانصح الكل بعدم تفويت هالمنتج . رغم ان البائع جزاه الله خير لم يفصح بمعلومات كثيره عن المنتج وفيه من الفؤاد الكثيره في الالم الظهر .. الخ الا انني بختصر وانصح الكل بإستخدامة ..,1
بالمقارنة بسعره يعتبر جيدجدا,0
المنتج خفيف وسهل التركيب ويعمل على ايقاف الهواء من الدخول عبر الباب اثناء سير السيارة بسرعة عالية,1
صناعة المنتج غير جيدة ورديئة جدا,-1
منتج جيد مع ضرورة التعديل الى الاجود,0
"عملية خلط سائل تنظيف السيارة مع الماء يعطي رغوة لابأس بها , سعر رخيص جدا لجودة عالية , بالتأكيد سأوصي بهذا المنتج",1
رائعة جداً,1
منتج جميل وملفت للنظر مع الحمايه لداخلية السياره من الشمس,1
شي طيب وبا التوفيق,-1
سلعة سيئة للغاية ولا تصلح ختى لسيارات الاطفال وليس لها أي فائدة ولا تستحق أكثر من ريالين وحسبنا الله ونعم الوكيل في هذا البائع,-1
منتج بسيط الفكره ولكنه عملي ومهم وقد تحتاجه في اي وقت,1
ممتازه جدا اعجبتني كثير وعمليه جدا ومن شركه مشهوره سلكها طويل يعني تنفع للجمس او اسكويا او جيب لاخر السياره توصل,1
تمت تجربتها على سيارة صغيرة وليس لها اي فائدة,-1
البخاخ الذي يستخدم مرة واحدة لايتوفر فيه قطعة القفل (activator) حتى يبدأ الرش ، لذا المنتج الان عديم الفائدة بالنسبة لي.,-1
"ممتاز جدا جدا و يغنيك عن فحص السيارة بالكمبيوتر عند الورش بـ 100ريال أو 150 ريال ,",1
المنتج جيد ولكنه قد يؤثر سلبا على بودي السيارة حسب رايي الشخصي فانصح باستخدامه مع الحرص على ازالة اثاره بالماء بعد كل استخدام,0
للاسف قوة الشفط ضعيفة جداً وليس كما هو متوقع في شكلها في الصورة والجودة ضعيفة ايضاً ، ولاانصح احد بها .,-1
قمت باستعمال منتجات كثيره لازاله خدش بالسياره بدون فائده,1
عملية النفخ سريعة ويعتبر منفاخ انيق نوعا ما ، ورخيص بالنسبة لباقي انواع الاجهزة الاخرى ، والسلعة وصلتني حسب وصف البائع مع وجود حقيبة لحمل المنفاخ,1
بلوف الكفرات ممتازة حيث انها بوضعها العادي علي الكفر تعطيك اللون الاخضر طالما الكفر يحتفظ بضغط اعتقد لا يقل عن 32 ويتحول االي اللون الاحمر في حال نقص الهواء عن ذلك,-1
السلام عليكم ورحمة الله وبركاته جهاز ممتاز جدا   لفحص أعطال وتشخيص السيارات وشكراً''''''''''''''''''''''''''''',1
